Utterance,Start,End,Group,Participant,Transcript
239,1276.5,1282.02,3,3,Yeah the highest we can make is a one fifty we can make a one fifty even
240,1282.86,1288.58,3,2,And we can make it up to one fifty so if we find a block which can make
241,1288.41,1291.65,3,1,So with all of these we can make it up to one fifty
242,1293.03,1298.01,3,1,Ok yeah eighty plus fifty fifty and then yeah ok
243,1298.55,1308.63,3,2,We have ten two tens we have twenty we have thirty we can make forty with these three we can we have fifty
244,1309.08,1312.83,3,2,We have fifty with sixty sixty these two seventy
245,1312.83,1314.06,3,3,Sixty and these two
246,1314.21,1318.58,3,2,We have eighty we can make ninety we can make
247,1315.92,1322.07,3,3,We can make ninety a hundred even one ten even
248,1322.73,1325.94,3,2,One ten ok one twenty
249,1326.75,1330.42,3,3,Yeah we can it's thirty and ten
250,1329.15,1334.28,3,2,Yeah this is four ok one twenty is done 
251,1335.92,1340.33,3,3,One thirty is automatically fifty plus eighty
252,1334.55,1341.96,3,2,And uh one thirty yeah fifty ok
253,1343.08,1348.38,3,3,One forty obviously we can make that and one fifty
254,1342.17,1346.66,3,2,And then ok 
255,1350.501,1353.42,3,1,So we want to guess one fifty is that
256,1348.5,1350.58,3,3,And yeah we can make everything
257,1358.22,1363.05,3,3,We have two oppurtunities for that even so
258,1363.11,1374.9,3,3,Whatever like how did we guess eighty like we used only two blocks even for measurement of everything we just used two blocks so I'm thinking
259,1375.02,1377.81,3,3,If we just used only two blocks then
260,1377.93,1380.87,3,3,The highest two blocks may weigh something
261,1381.35,1388.85,3,3,One thirty yeah because we measured this with the help of
262,1381.33,1384.25,3,1,And that would be one thirty right 
263,1388.94,1390.92,3,3,These two
264,1392.09,1397.94,3,3,And with this we measured with these two and with this we measured with the help of these two
265,1394.33,1397.94,3,1,Wait wait wait
266,1399.11,1399.84,3,3,We almost
267,1399.75,1401.36,3,1,The instructions
268,1401.72,1403.7,3,1,We had to they're not the instructions
269,1403.91,1406.13,3,1,The waiver we signed said
270,1407.21,1409.19,3,1,Fibonnaci block test
271,1409.97,1414.62,3,2,Yes it's a Fibonnaci series
272,1414.68,1417.5,3,2,One one twenty then
273,1417.77,1423.01,3,2,Thirty thirty plus twenty fifty fifty plus thirty eighty eighty plus fifty one thirty
274,1418.91,1424.37,3,3,Thirty fifty eight one thirty
275,1424.73,1429.26,3,3,Ok let me try one thirty
276,1429.62,1431.9,3,3,And
277,1433.22,1435.08,3,3,Oh what should I index
278,1435.58,1436.33,3,2,The fibonacci series
279,1454.75,1458.72,3,3,Sounds good ok I'm submitting this
280,1464.63,1465.5,3,1,It means we're awesome
281,1464.83,1467.17,3,3,Ooh that's great that's good
