Utterance,Start,End,Group,Participant,Transcript
377,1584.58,1584.85,7,3,Yes
378,1585.92,1588.17,7,2,Also let's do a combine together
379,1587.92,1596,7,1,No no just start with these and we add different things until you said they are equal Okay take these two
380,1598.79,1598.84,7,1,Just  
381,1606.09,1606.59,7,2,Feels the same to me
382,1608.09,1608.63,7,3,Okay
383,1609.83,1614.19,7,1,So you should feel those at first that they are
384,1620.49,1621.46,7,2,This is heavier
385,1622.57,1625.59,7,3,Okay uh how about now
386,1631.33,1631.83,7,2,This is heavier
387,1632.59,1633.09,7,3,And now
388,1643.16,1643.61,7,2,This is heavier
389,1644.98,1645.71,7,3,And now
390,1652.79,1653.59,7,2,Same
391,1654,1659.84,7,3,Okay I okay could you like put them down yeah
392,1660.09,1664.33,7,1,It doesn'­t feel correct
393,1663.59,1666.66,7,3,I don'­t okay so like
394,1667.92,1681,7,2,So that but this is equal This is fifty ten sixty sixty plus six so this is ninety
395,1670.56,1678.39,7,3,So if like these feel similar so Fifty Thirty
396,1681.59,1687.59,7,2,And this is Thirty ninety minus thirty sixty
397,1683,1687.92,7,3,Ten twenty thirty is sixty
398,1688.46,1689.42,7,2,Should we lock sixty
399,1690.96,1691.73,7,1,Which one was fifty
400,1692.19,1693.46,7,3,Uh this one was fifty
401,1694.49,1695.18,7,2,You're sure about that right
402,1695.95,1696.21,7,3,Yeah
403,1698.58,1702,7,2,Let's since we already have something let's close your eyes
404,1706,1707,7,1,I should feel like this
405,1721.29,1724.37,7,3,Which one is heavier Yeah
406,1723.75,1724,7,1,This one
407,1727.28,1729,7,2,This was in the same group right
408,1732.09,1732.62,7,3,How about now
409,1733.33,1736.11,7,1,It's heavier It's this one
410,1734.64,1736.73,7,2,Which one Left one
411,1737.48,1737.67,7,1,This one
412,1737.87,1744.33,7,3,Your left hand yeah ok this is heavier ok uh
413,1739.18,1743.67,7,1,Yes Yeah I feel heavier
414,1740.69,1741.19,7,2,It's heavier
415,1747.82,1748.23,7,3,How about now
416,1754,1757.02,7,1,I feel heavier Left one
417,1755.89,1756.35,7,2,Which one
418,1758.1,1760.37,7,3,Okay how about now
419,1766.25,1766.64,7,1,The same
420,1767.41,1773,7,3,Okay okay uh you can put them down So we have like this is twenty
421,1770.87,1771.75,7,2,This is how much
422,1774.5,1777.89,7,3,So we have like two answers and we have like two tries
423,1778.64,1786.41,7,3,So uh this is the Nah I think I'm good Yeah we've got like uh
424,1780.94,1792.67,7,2,Do you do you want to try it again So this is uh either sixty or or eighty right
425,1789.47,1794.58,7,3,So twenty plus thirty fifty uh
426,1797,1801.86,7,3,So like the first option is sixty which or eighty
427,1799.89,1801,7,2,Or eighty right because
428,1802.59,1805,7,2,Because this was heavier that means it has to be eighty
429,1802.63,1808.42,7,3,I think so yeah fifty thirty isn't this a hundred
430,1809.92,1811.09,7,3,Like twenty thirty and fifty
431,1812.41,1815.21,7,3,So either a hundred or sixty no
432,1815.97,1817.72,7,1,I think we need to add sixty
433,1817.17,1819.46,7,2,Sixty or eighty I don'­t know
434,1819.97,1822.68,7,3,This was one block that Shadi tried right
435,1824,1824.79,7,2,Do you feel it's the same
436,1824.5,1825.68,7,1,It's eighty
437,1828.6,1835,7,3,So fifty plus thirty plus twenty is a hundred yeah and the other block was
438,1835.1,1838.47,7,2,So either a hundred or sixty but that's too steep a jump
439,1840.96,1843.68,7,1,I think we should go with ninety and eighty 
440,1841.43,1851.75,7,3,We could try first eighty eighty first Okay Yeah Should eighty final okay
441,1854.33,1855.59,7,3,Um oh eighty
442,1862.43,1864.18,7,3,Yup and then let's
443,1865.33,1875.5,7,3,Okay uh ten ten twenty thirty eighty and fifty yup
444,1877.5,1883.25,7,4,For the final part of this task read the scenario and estimate the weight of the second mystery block
445,1883.75,1888,7,4,You will have two attempts to estimate and explain your answer you can now continue the survey
446,1889.97,1891.92,7,2,Which is the missing second block
447,1910.87,1912.67,7,1,It should be something like
448,1913.67,1915.09,7,2,The second mystery block
449,1915.67,1923.42,7,3,Does this not seem like the Fibonacci sequence like one one two three five eight and then one thirty
450,1924.25,1924.5,7,1,Yeah
451,1928.33,1928.58,7,3,Yeah
452,1930.09,1937.84,7,2,One one two three five yeah yeah
453,1936.33,1940.67,7,3,Five plus three eight Which is
454,1938.17,1940.92,7,2,So that should be eight plus five so thirteen
455,1943.42,1944.17,7,1,Are we sure
456,1944.92,1950.18,7,3,I like Yeah like it seems the obvious pattern
457,1955.25,1955.5,7,3,Okay
458,1958.09,1959.09,7,1,We can't have
459,1960.84,1970.84,7,1,Actually we can't have forty because we have this one we can't have sixty we have this seventy we have these two eighty
460,1971.78,1974.09,7,1,But we can't oh yeah it's it's Fibonacci
461,1978,1978.75,7,3,Yeah like if
462,1980.09,1983.85,7,3,I think so Okay um
463,1980.59,1981.85,7,2,Yeah one thirty
464,1990.59,1992.09,7,3,If anybody else wants to type
465,2015.32,2015.58,7,3,Yeah
466,2019.89,2023.84,7,1,Maybe we should guess the weight of that with Fibonacci as well
467,2025,2026.5,7,2,Yeah that was one thirty so it'll be
468,2026.47,2029.47,7,1,No I mean this one based on the other
469,2027.5,2033.5,7,3,This one yeah so one one two three five and then three plus five is eight
470,2033.52,2033.85,7,1,Yeah
471,2034.31,2034.47,7,3,Yeah 
472,2050.5,2051.25,7,3,I think so
473,2052.08,2057.25,7,2,We placed the in the correct position so it was easy to see that they fit into the Fibonacci series
474,2057.42,2060.24,7,3,Yeah I think that is fine
475,2063.17,2063.21,7,3,Yeah
476,2064.17,2064.67,7,1,Hey
477,2070.42,2071,7,1,Are we done
