,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
59,59,318.6,320.58,3,1,Twenty,0,0
60,60,326.85,330.69,3,1,Have we tried these two and the green one cause it's,0,0
61,61,331.05,333.57,3,1,Kinda dipping,0,0
62,62,336.06,338.42,3,1,Nope that's too light ok too light,0,0
63,63,337.33,341.55,3,3,No so when we try these both ,1,0
64,64,344.01,348.36,3,3,So I feel yellow is fifty,0,1
65,65,345.75,347.42,3,1,That is equivalent to the ,0,0
66,66,356.19,359.46,3,3,This has thirty and twenty,0,0
67,67,359.91,362.94,3,3,Yeah green is twenty and purple is thirty,0,0
68,68,366.06,371.16,3,2,It's for sure not thirty,0,0
69,69,371.49,378.24,3,1,So if you put the purple and just to verify that all of our weights are correct,0,0
70,70,378.27,380.25,3,1,Uh,0,0
71,71,396.69,404.73,3,1,It must be this right because comparing it to forty it's,0,1
72,72,399.16,402.03,3,3,Fifty yeah,0,1
73,73,400.01,400.5,3,2,Fifty  ,0,0
74,74,405.48,407.64,3,1,Not that heavy,0,0
75,75,408.93,411.03,3,1,So are we done,0,0
76,76,413.94,415.92,3,1,Try it,0,0
77,77,427.92,430.44,3,3,Twenty green yeah,0,0
78,78,432.25,433.84,3,3,Yeah and this is fifty,0,0
79,79,431.58,435.75,3,2,Thirty and yellow is fifty,0,0
80,80,435.78,440.73,3,2,Maybe we should try those things here,0,0
81,81,435.78,447.87,3,3,Just place the color on top,0,1
82,82,444.78,445.75,3,1,Try what then,0,0
83,83,450.33,451.5,3,4,And have you guys filled out the survey,0,0
84,84,451.65,452.0,3,2,Yes,0,0
85,85,452.33,453.93,3,3,Yeah until fifty,0,0
86,86,461.81,466.8,3,3,Uh just till fifty so should I sumbit it,0,0
87,87,459.84,461.08,3,4,Um did you submit the answer,0,0
88,88,469.65,473.16,3,3,Correct red is ten blue is ten,0,0
89,89,479.75,489.87,3,4,Ok so for the next part if the test you are going to determine the weight of this block without using the scale to get the answer,0,0
90,90,473.7,477.58,3,3,Green is twenty purple is thirty and yellow is fifty yeah good,0,0
91,91,485.58,486.66,3,1,Oh fun,0,0
92,92,490.23,492.21,3,4,And you can begin now,0,0
93,93,497.58,500.34,3,1,Think it's a little heavier than the yellow,0,0
94,94,518.79,522.48,3,1,Is there a way for us to test it other than just our,0,0
95,95,522.84,524.82,3,1,Perception,0,0
96,96,532.53,536.73,3,3,I think this is a bit more heavier and,0,0
97,97,537.54,539.52,3,3,So,0,0
98,98,541.83,547.11,3,3,Maybe ninety or a hundred,0,0
99,99,548.37,559.95,3,1,I bet there's a scale app on our phone and I bet it's cheating to download that,0,0
100,100,553.0,553.82,3,4,It's cheating,0,0
101,101,567.39,569.61,3,2,Yeah it could be eighty ninety,0,0
102,102,570.91,574.89,3,3,I think it is between ninety to a hundred,0,0
103,103,569.88,570.75,3,2,Eighty to ninety,0,0
104,104,576.3,581.25,3,3,Because yeah green is twenty thirty and fifty right so,0,0
105,105,581.31,583.86,3,3,Maybe a hundred or so,0,0
106,106,587.04,590.67,3,1,Is it twice as heavy as the yellow one I can't tell,0,0
107,107,589.42,590.67,3,2,No it's not ,0,0
108,108,591.45,596.94,3,1,Are the wait which one was the fifty one it was the it was yellow ok,0,0
109,109,594.17,596.94,3,3,Fifty is yellow yeah,0,0
110,110,599.13,601.83,3,2,It's not twice as heavy as yellow,0,0
111,111,609.12,612.06,3,2,I think it's between eighty and ninety,0,0
112,112,616.05,621.0,3,1,I have a question ok somebody like hold the yellow and the brown like,0,0
113,113,621.09,631.11,3,1,and your eyes and just kind of like hold them really flat and close your eyes for a second and tell me when the yellow tell me when this hand feels the same as the other,0,0
114,114,632.55,634.83,3,3,This is heavier I can,0,0
115,115,635.58,638.4,3,1,But like tell me when it starts to feel the same,0,0
116,116,643.5,645.41,3,1,Still lighter,0,0
117,117,643.66,648.78,3,3,I think yeah it does,1,0
118,118,648.96,652.58,3,1,I was trying to take the the visual input out of it,0,0
119,119,651.25,654.0,3,3,I think it is ok now,1,0
120,120,654.33,656.16,3,1,You think that's about the same,0,0
121,121,654.18,654.35,3,3,Yeah,0,0
122,122,657.24,664.5,3,3,Yeah I feel that can you even try that because yeah,0,0
123,123,660.83,664.5,3,1,Yeah yeah try it try it again,0,0
124,124,669.27,671.25,3,3,How do you feel this one is lighter,0,0
125,125,674.82,677.82,3,1,I feel like this like might be a smidge heavier but,0,0
126,126,678.12,683.79,3,1,Like the right my right I feel like that one could be a smidge heavier but,0,0
127,127,683.94,685.92,3,1,I don't know hang on,0,0
128,128,689.1,691.08,3,3,I'll just check now,0,0
129,129,692.01,693.99,3,1,Now I feel like the right side,0,0
130,130,694.62,696.6,3,1,Definitely heavier right,0,0
131,131,697.47,708.48,3,1,It's hard to tell it's hard to tell they're really close they're really close yeah give it a shot ok so here's our heavy one,0,0
132,132,700.75,745.01,3,3,It's it's your turn you have to try now you have to try,1,0
133,133,708.99,710.97,3,2,Ok,0,0
134,134,713.04,720.99,3,2,I think this is heavier now I was thinking like if you have,0,1
135,135,714.42,715.42,3,3,Oh my god   ,0,0
136,136,717.08,718.17,3,1,Definitely not,0,0
137,137,721.26,726.18,3,2,Does uh like heavier objects roll down the incline plane faster,0,0
138,138,727.29,730.17,3,2,It's the same,0,0
139,139,731.37,734.1,3,3,But where do we get that now,0,0
140,140,738.66,741.42,3,3,Does this really heavier than this for sure,0,0
141,141,737.88,742.59,3,1,I think we would have to have really good measures yeah yeah,0,0
142,142,755.07,757.98,3,3,Can get that one,0,0
143,143,771.17,777.81,3,1,I feel like there's gotta be a clever way like an answer I don't know what it is,0,0
144,144,769.05,772.84,3,3,Ok I think it would be ninety or something,0,0
145,145,786.87,790.86,3,2,Now I think it might be hundred but,0,0
146,146,792.92,801.9,3,3,Yeah in between ninety and hundred but when we see normally when we compare those both but it is not showing that it is exactly double or something,0,0
147,147,791.37,791.92,3,2,Maybe ninety to ,0,0
148,148,803.08,805.44,3,1,Can I see your phone actually,0,0
149,149,802.41,802.83,3,2,Yeah it's not double ,0,0
150,150,809.31,813.42,3,3,Wow,0,0
151,151,817.66,824.16,3,2,I think we had place on our block here so it won't fall directly,0,0
152,152,816.92,820.25,3,3,Oops put both at a time maybe,0,0
153,153,828.33,830.31,3,3,I'll remove that red one,0,0
154,154,831.78,840.21,3,1,I feel like that's close enough that's close enough right,0,0
155,155,831.78,839.66,3,3,It's yeah that's really a great idea yeah,0,0
156,156,840.24,844.83,3,3,Just once remove this block,0,0
157,157,846.08,849.39,3,1,So it's still pretty even it's still pretty even,0,0
158,158,849.9,854.52,3,3,Purple is thirty even we are getting that,0,1
159,159,852.42,853.84,3,2,Seventy it's just seventy,0,0
160,160,858.03,861.99,3,3,Oops,0,0
161,161,862.2,864.63,3,1,We just got it balanced too well I think,0,0
162,162,882.9,886.74,3,1,Yeah it's pretty far to this side right now,0,0
163,163,887.49,890.91,3,1,Fourth try,0,0
164,164,891.08,892.92,3,3,We'll do one thing,0,0
165,165,899.19,901.35,3,1,Oh yeah,0,0
166,166,914.7,915.42,3,1,It's leaning that side ,0,0
167,167,915.91,919.11,3,3,Yeah it's leaning that way ok let me put this,0,0
168,168,921.63,923.91,3,2,It's eighty,0,0
169,169,927.15,930.33,3,3,It's leaning still leaning that side just remove one,0,0
170,170,934.02,939.54,3,1,What ok so this one's fifty and thirty,0,1
171,171,936.58,938.08,3,3,Fifty and thirty,0,0
172,172,940.17,943.35,3,2,If you have like if you keep twenty,0,0
173,173,945.12,949.77,3,2,It should it does still leaning,0,0
174,174,961.32,965.31,3,3,I'm thinking to just remove this once,0,0
175,175,965.79,971.49,3,3,So now it's leaning this way if we put that it's leaning this way ninety,0,1
176,176,969.41,970.33,3,2,So it's ninety,0,0
177,177,972.32,973.68,3,1,What if,0,0
178,178,971.7,971.92,3,3,Maybe ,0,0
179,179,974.3,978.78,3,1,Yeah I was going to say stick that here let's uh try this,0,0
180,180,973.71,974.66,3,3,Ok let me   ,0,0
181,181,990.84,996.09,3,1,So then theory do we have these positioned the same,0,0
182,182,996.12,998.37,3,1,In theory we think this should be,0,0
183,183,999.06,1001.04,3,1,Yes  ,0,0
184,184,1006.23,1008.33,3,1,We're close either way we're close,0,0
185,185,1008.25,1010.25,3,3,Yeah,0,0
186,186,1011.27,1013.88,3,3,It's definitely not hundred so,0,0
187,187,1014.81,1020.42,3,2,It's nintey see even for that its,0,1
188,188,1017.16,1018.33,3,1,I think that's  ,0,0
189,189,1021.11,1023.93,3,2,It's same see uh,0,0
190,190,1024.62,1026.6,3,2,Here it started dipping,0,0
191,191,1029.83,1034.73,3,1,If only our block was a little just narrow sliver,0,0
192,192,1026.75,1029.16,3,2,What if you removed the ten,0,0
193,193,1038.24,1041.75,3,2,I think it's eighty now,0,0
194,194,1042.05,1042.42,3,1,Yeah,0,0
195,195,1042.16,1044.12,3,3,Yeah but when it but ,1,0
196,196,1046.28,1051.32,3,3,It's even the same it's this annoying climate ok let me try put in this,0,1
197,197,1047.42,1050.42,3,1,That looks that looks more even to me ,0,0
198,198,1052.28,1054.35,3,3,Oops,0,0
199,199,1054.65,1064.31,3,1,Let's try it with a different let's try it with that phone for a second and see just to rule out like maybe this phone design is heavier on one side right,0,1
200,200,1054.83,1059.92,3,3,It's the same ok,0,0
201,201,1064.4,1066.56,3,3,Is it ok,0,0
202,202,1071.57,1080.81,3,1,It's I think I think this one's this block is just too flat,0,1
203,203,1076.25,1079.75,3,3,Yeah it's maybe let's try it with the smaller one then,0,0
204,204,1083.99,1086.33,3,1,Just to test like,0,0
205,205,1086.75,1089.72,3,1,Yeah I think it's,0,0
206,206,1090.32,1095.54,3,1,They're just too sturdy and flat it's like hard to tell,0,0
207,207,1095.84,1098.9,3,1,We can definitely rule things out but I think uh,0,0
208,208,1099.74,1102.17,3,1,Too crude of a measurement to to,0,0
209,209,1102.44,1105.44,3,1,Narrow down that like ten gram window,0,0
210,210,1110.48,1113.69,3,1,Do we want to say eighty,0,0
211,211,1113.78,1117.35,3,3,I'm confused between eighty and ninety,0,0
212,212,1133.08,1135.47,3,1,Yeah it's too balanced,0,0
213,213,1136.01,1140.99,3,1,Like have another object,0,0
214,214,1144.16,1145.64,3,3,Uh there's a scale,0,0
215,215,1142.61,1143.83,3,1,Are we allowed to use,0,0
216,216,1146.0,1161.36,3,1,Well we're not even allowed to use the scale I say we give it our best guess at this point um,0,1
217,217,1155.66,1158.34,3,3,So what should I answer this ,0,0
218,218,1173.27,1175.64,3,3,We have two attempts to do this,0,0
219,219,1175.85,1185.58,3,1,Ok we have two attempts oh well then let's maybe we just try eighty and see if that's right and if it's not then it rules out,0,0
220,220,1175.85,1188.87,3,3,Yeah we have two attempts eighty eighty is good for three ninety yeah I'm just clicking on eighty,0,0
221,221,1191.3,1198.41,3,3,Oh it's right eighty yes,0,0
222,222,1191.3,1198.41,3,1,Oh we got it it's right eighty yeah,0,0
223,223,1198.5,1201.29,3,4,Ok for the final part of the task,0,0
224,224,1201.44,1206.6,3,4,Read the scenario in the next slide and estimate the weight of the missing second mystery block,0,0
225,225,1206.99,1210.83,3,4,You will have two attempts to estimate and explain your answer you can now continue the survey,0,0
226,226,1211.83,1215.83,3,3,Uh the factory that creates wooden blocks did not send us a second mystery block,0,0
227,227,1218.33,1220.31,3,3,Weights so the second block,0,0
228,228,1224.81,1223.58,3,1,Ok so we literally know nothing about the second block this sounds like a Bayesian probability question right,0,0
229,229,1227.5,1236.0,3,3,The second yes yeah so we have to use only this,0,0
230,230,1237.44,1244.92,3,1,Well I assume we can use the second the first mystery block as a data point,0,0
231,231,1240.92,1247.04,3,3,The first mystery block this is eighty we could just ,1,0
232,232,1247.22,1247.91,3,1,Yeah,0,0
233,233,1248.75,1250.88,3,2,Uh I how,0,0
234,234,1251.12,1254.33,3,2,Like they have two one forty grams,0,0
235,235,1254.51,1268.76,3,2,So it must be a set so we should be able to make every possible weight here with these blocks they have one fifty two,0,1
236,236,1262.75,1266.66,3,1,Every possible weight up to one forty you think so we got ,0,0
237,237,1268.82,1271.1,3,2,Maybe,0,0
238,238,1272.27,1275.92,3,2,Maybe we must be able to do every weight here,0,0
239,239,1276.5,1282.02,3,3,Yeah the highest we can make is a one fifty we can make a one fifty even,0,0
240,240,1282.86,1288.58,3,2,And we can make it up to one fifty so if we find a block which can make,0,0
241,241,1288.41,1291.65,3,1,So with all of these we can make it up to one fifty,1,0
242,242,1293.03,1298.01,3,1,Ok yeah eighty plus fifty fifty and then yeah ok,0,0
243,243,1298.55,1308.63,3,2,We have ten two tens we have twenty we have thirty we can make forty with these three we can we have fifty,0,0
244,244,1309.08,1312.83,3,2,We have fifty with sixty sixty these two seventy,0,0
245,245,1312.83,1314.06,3,3,Sixty and these two,0,0
246,246,1314.21,1318.58,3,2,We have eighty we can make ninety we can make,0,0
247,247,1315.92,1322.07,3,3,We can make ninety a hundred even one ten even,1,0
248,248,1322.73,1325.94,3,2,One ten ok one twenty,0,0
249,249,1326.75,1330.42,3,3,Yeah we can it's thirty and ten,0,0
250,250,1329.15,1334.28,3,2,Yeah this is four ok one twenty is done ,1,0
251,251,1335.92,1340.33,3,3,One thirty is automatically fifty plus eighty,0,0
252,252,1334.55,1341.96,3,2,And uh one thirty yeah fifty ok,0,0
253,253,1343.08,1348.38,3,3,One forty obviously we can make that and one fifty,0,0
254,254,1342.17,1346.66,3,2,And then ok ,0,0
255,255,1350.501,1353.42,3,1,So we want to guess one fifty is that,0,0
256,256,1348.5,1350.58,3,3,And yeah we can make everything,0,0
257,257,1358.22,1363.05,3,3,We have two oppurtunities for that even so,0,0
258,258,1363.11,1374.9,3,3,Whatever like how did we guess eighty like we used only two blocks even for measurement of everything we just used two blocks so I'm thinking,0,0
259,259,1375.02,1377.81,3,3,If we just used only two blocks then,0,0
260,260,1377.93,1380.87,3,3,The highest two blocks may weigh something,0,0
261,261,1381.35,1388.85,3,3,One thirty yeah because we measured this with the help of,0,0
262,262,1381.33,1384.25,3,1,And that would be one thirty right ,0,0
263,263,1388.94,1390.92,3,3,These two,0,0
264,264,1392.09,1397.94,3,3,And with this we measured with these two and with this we measured with the help of these two,0,0
265,265,1394.33,1397.94,3,1,Wait wait wait,0,0
266,266,1399.11,1399.84,3,3,We almost,0,0
267,267,1399.75,1401.36,3,1,The instructions,1,0
268,268,1401.72,1403.7,3,1,We had to they're not the instructions,0,0
269,269,1403.91,1406.13,3,1,The waiver we signed said,0,0
270,270,1407.21,1409.19,3,1,Fibonnaci block test,0,0
271,271,1409.97,1414.62,3,2,Yes it's a Fibonnaci series,0,0
272,272,1414.68,1417.5,3,2,One one twenty then,0,0
273,273,1417.77,1423.01,3,2,Thirty thirty plus twenty fifty fifty plus thirty eighty eighty plus fifty one thirty,0,0
274,274,1418.91,1424.37,3,3,Thirty fifty eight one thirty,1,0
275,275,1424.73,1429.26,3,3,Ok let me try one thirty,0,0
276,276,1429.62,1431.9,3,3,And,0,0
277,277,1433.22,1435.08,3,3,Oh what should I index,0,0
278,278,1435.58,1436.33,3,2,The fibonacci series,0,0
279,279,1454.75,1458.72,3,3,Sounds good ok I'm submitting this,0,0
280,280,1464.63,1465.5,3,1,It means we're awesome,0,0
281,281,1464.83,1467.17,3,3,Ooh that's great that's good,1,0
