,Utterance,Start,End,Group,Participant,Transcript,Manual Labeling 1
0,115,407.94,500.15,5,2,I can't tell they're really close,Passive
1,121,428.79,431.08,5,3,Yeah I still say brown is,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Passive
1,122,430.06,432.39,5,1,Add that to that add that,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Passive
1,123,434.83,442.23,5,3,I would still say brown is heavier it might be a different way of measuring with the palm instead of your fingers but,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Passive
1,124,432.78,438.59,5,1,No yeah yeah that was right yeah so add ten grams,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Ruled out
1,125,452.58,454.83,5,3,I'd still say brown  ,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Ruled out
1,126,454.98,456.96,5,1,Still heavier you think,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Ruled out
1,127,459.54,463.38,5,3,The distribution's kind of off when you hold them not in a straight line,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Ruled out
1,128,460.9,461.34,5,1,Yeah,Not Related
0,115,407.94,500.15,5,2,I can't tell they're really close,Ruled out
1,129,463.92,465.15,5,1,Go ahead,Not Related
0,127,459.54,463.38,5,3,The distribution's kind of off when you hold them not in a straight line,Passive
1,128,460.9,461.34,5,1,Yeah,Not Related
0,137,515.76,518.64,5,1,This is yeah one ten,Passive
1,138,516.16,516.72,5,3,Pre red,Competitive
0,143,556.05,564.03,5,3,I can't really tell I did that initially,Ruled out
1,144,557.59,561.33,5,1,Yeah that's yeah wait well did you take the top,Competitive
0,143,556.05,564.03,5,3,I can't really tell I did that initially,Ruled out
1,145,558.63,560.84,5,2,So we can you think one ten,Competitive
0,144,557.59,561.33,5,1,Yeah that's yeah wait well did you take the top,Passive
1,145,558.63,560.84,5,2,So we can you think one ten,Competitive
0,151,579.96,595.95,5,3,So it was ten ten twenty um so the hint is think about the relationship between the weights of the prior blocks and use that pattern to determine the weight of the mystery block it was ten ten twenty thirty fifty,Passive
1,152,580.02,583.5,5,1,It was not quite correct no alright alright,Competitive
0,153,598.89,613.17,5,3,This is so no no it gets this plus this equals this this plus this equals this this plus this is or this plus this yeah so we're thinking eighty,Passive
1,155,608.67,613.02,5,2,So this plus this equals this ,Competitive
0,157,616.73,630.58,5,2,I mean we can we can I guess we could feel it ok you know what this does feel pretty close I think maybe the distrubtuion just messed us up,Passive
1,158,619.75,623.5,5,3,That's weird that or are we sure that purple is still twenty,Competitive
0,171,692.01,709.08,5,1,Eighty grams alright cool next ok,Passive
1,172,692.31,698.84,5,3,Eighty nice next,Supportive
0,175,718.35,729.51,5,3,You have two oppurtunities to estimate the weight of the second block explain in one to two sentences how you determined your estimate indicate the weight of the second mystery block yep,Passive
1,176,726.64,728.76,5,1,If we decide to continue on the pattern,Competitive
0,179,736.53,750.69,5,1,The summation of the previous two which actually makes sense because this ten plus 0 is ten ten plus ten is twenty well yeah but yeah,Passive
1,180,745.75,747.75,5,2,So we're thinking it's like the Fibonacci series then  ,Competitive
0,179,736.53,750.69,5,1,The summation of the previous two which actually makes sense because this ten plus 0 is ten ten plus ten is twenty well yeah but yeah,Passive
1,181,737.93,749.78,5,3,Of the previous two oh sure yeah pretty much it's the same idea,Competitive
0,191,854.04,860.38,5,3,Yeah that's one thing that CS has made me better at being precise ah,Passive
1,192,857.18,859.67,5,1,That's good,Supportive
0,199,894.52,903.69,5,2,So this one yeah sounds good ,Passive
1,200,900.75,901.75,5,1,Sure put that in,Supportive
