,Utterance,Start,End,Group,Participant,Transcript,Manual Labeling 1
1,75,284.97,285.4,10,3,Fifty,Competitive
0,76,286.92,290.71,10,3,Like if those are more than fifty then this is less Yeah,Passive
1,77,289.78,290.41,10,2,Less than fifty,Competitive
0,78,295.5,301.5,10,3,I guess we're done huh I just want to feel it though I really want to see if it's the heaviest,Passive
1,79,297.14,297.73,10,1,Makes sense if,Competitive
0,80,302.51,307.26,10,3,Should I Oh yeah this is fifty grams ,Passive
1,81,303,305,10,2,Yeah yeah it's it's almost settled down so it's less than fifty,Competitive
0,82,307.81,312.48,10,1,So this was thirty right Thirty this was twenty and these are tens,Passive
1,83,309.17,310.42,10,2,Yeah Twenty,Supportive
0,82,307.81,312.48,10,1,So this was thirty right Thirty this was twenty and these are tens,Passive
1,84,309.91,310.17,10,3,Okay  ,Supportive
0,83,309.17,310.42,10,2,Yeah Twenty,Passive
1,84,309.91,310.17,10,3,Okay  ,Supportive
0,90,322.72,326,10,3,Like one fourty But no blocks,Passive
1,91,323.25,324.18,10,1,This mandate,Competitive
0,102,359.57,365.67,10,3,blue and reds well they don't have the right uh purple Thirty right yeah alright let's do it,Passive
1,103,361.92,363.41,10,2,Purple's this one thirty,Competitive
0,105,373.75,382.59,10,3,No I think this is this is the one which is purple Oh,Ruled out
1,107,376.5,378.5,10,1,There are four options so,Competitive
0,106,374,383.09,10,2,No no no no So like they gave the weight of this one they gave the weight of the red one so that's why they didn't include this one they already gave us yeah,Passive
1,107,376.5,378.5,10,1,There are four options so,Competitive
0,109,387.42,390.67,10,3,red is ten grams  yellow is fifty grams ,Passive
1,110,388.42,389.17,10,2,Yeah red ten given,Supportive
0,113,398.25,403.09,10,3,No the red is ten blue is ten yellow is fifty Okay  ,Passive
1,114,399.5,402.33,10,2,Yeah yeah yeah we're we're right,Supportive
0,116,407.84,417.67,10,3,Indicate the weight of the mystery block Whoa Where is the blue guy,Passive
1,118,411.17,413.12,10,2,Okay okay we remove the scale,Competitive
0,117,410.18,418.67,10,1,You have two attempts It's heavier than everything else,Passive
1,118,411.17,413.12,10,2,Okay okay we remove the scale,Competitive
0,121,422,427.84,10,2,Two attempts okay Wait this one is what again fifty This is this is,Passive
1,122,426.08,426.59,10,3,This is fifty,Competitive
0,126,433.32,443.42,10,2,Can we form something on one side like this place the other one So okay yeah,Passive
1,127,439.15,440.63,10,3,Well just just try to get a feel of It,Competitive
0,128,445.5,451.75,10,1,I would say still heavier than all these blocks Yeah can you grab there and hold it,Passive
1,129,447.5,450.84,10,2,Okay really Really,Supportive
0,128,445.5,451.75,10,1,I would say still heavier than all these blocks Yeah can you grab there and hold it,Passive
1,130,449.5,449.75,10,3,Really,Supportive
0,129,447.5,450.84,10,2,Okay really Really,Ruled out
1,130,449.5,449.75,10,3,Really,Supportive
0,139,478.57,488.62,10,2,how are you how are you really holding I'm just moving blocks and seeing Yeah this is lighter this is lighter If I put the ten,Passive
1,140,478.68,479.85,10,3,This is hard to say,Competitive
0,139,478.57,488.62,10,2,how are you how are you really holding I'm just moving blocks and seeing Yeah this is lighter this is lighter If I put the ten,Passive
1,141,482.31,484.07,10,1,so like one thirty or one fourty,Competitive
0,146,502,505.56,10,1,Umm Do you want to try like one thirty,Passive
1,147,502.75,503.25,10,3,Let me try,Supportive
0,153,528.5,535.07,10,2,Because two tens Two tens there's two so the thing is like if we put this also feels lighter right,Passive
1,154,529.58,531.84,10,3,Oh we have two okay Okay,Supportive
0,158,549.9,556.08,10,2,Almost same let's let's do it Yeah ,Passive
1,159,551,551.5,10,3,Okay,Supportive
0,158,549.9,556.08,10,2,Almost same let's let's do it Yeah ,Passive
1,160,552.5,555.25,10,1,This is um this whole block is one twenty right so,Competitive
0,169,581,589.17,10,1,It's strange that like you are saying that all of these stacked up were all identical to that and now these ,Passive
1,170,585.84,586.41,10,2,No no no no,Competitive
0,169,581,589.17,10,1,It's strange that like you are saying that all of these stacked up were all identical to that and now these ,Passive
1,171,586.17,587.67,10,3,Hundred and ten so that's like a hundred,Competitive
0,178,615.14,627.57,10,2,No wait wait this is hundred this is hundred this is hundred So means hundred and ten is total this Yeah Okay yeah sure sure sure,Passive
1,179,626.25,626.43,10,1,Yeah,Supportive
0,183,640.89,651.34,10,3,Okay this is not quite correct So between the weights of the prior blocks,Ruled out
1,184,642.92,650.75,10,1,weights of the prior blocks and use it oh okay So these are ten ten twenty Thirty,Competitive
0,183,640.89,651.34,10,3,Okay this is not quite correct So between the weights of the prior blocks,Ruled out
1,185,647.18,647.5,10,2,Prior blocks,Competitive
0,184,642.92,650.75,10,1,weights of the prior blocks and use it oh okay So these are ten ten twenty Thirty,Passive
1,185,647.18,647.5,10,2,Prior blocks,Competitive
0,186,652.5,666.91,10,1,Fifty it's Fibonacci or something right One one two three five Wait eight eighty maybe Yeah,Passive
1,187,655.31,666.42,10,3,Wait wait what's Two three five eight thirteen twenty Eighty Yeah that's Fibonacci definitely,Competitive
0,186,652.5,666.91,10,1,Fifty it's Fibonacci or something right One one two three five Wait eight eighty maybe Yeah,Passive
1,188,661.08,663.89,10,2,ten ten thirty fifty ,Competitive
0,187,655.31,666.42,10,3,Wait wait what's Two three five eight thirteen twenty Eighty Yeah that's Fibonacci definitely,Passive
1,188,661.08,663.89,10,2,ten ten thirty fifty ,Competitive
0,192,681.34,692.64,10,3,Like just because of just becasuse that's Fibonacci Because I'm not sure what this hint is this is saying relationship between the weights which means,Passive
1,193,686.39,688.16,10,1,Like maybe we can find a pattern,Competitive
0,194,692.91,704,10,2,Yeah it's is is there any other series I'm not missing out I mean ten Twenty Thirty Fifty,Competitive
1,196,699.67,702.5,10,1,I'm not sure how far we can get by using the weight,Competitive
0,195,693.27,705.56,10,3,Is that the pattern or is that you know just use those weights Right That that is true anyway And also I mean,Passive
1,196,699.67,702.5,10,1,I'm not sure how far we can get by using the weight,Competitive
0,198,711.02,722,10,3,But eighty is a big difference like you know from a hundred to an eighty Well let's try to see if there is a hint here,Passive
1,199,715.17,719.5,10,1,Yeah but also like I can't judge anything by just holding things,Competitive
0,205,737.02,741.65,10,3,It's cool we have to I guess Eighty alright,Passive
1,206,738.57,740.67,10,2,Eighty let's let's go for eighty Yeah,Supportive
0,207,741.89,752.5,10,3,I would go for ninety but you guys are going for eighty Alright Cool Okay,Passive
1,208,745.41,746.67,10,1,I would have gone for one thirty,Competitive
0,207,741.89,752.5,10,3,I would go for ninety but you guys are going for eighty Alright Cool Okay,Passive
1,209,747.5,749.5,10,2,Eighty there you go Yeah,Competitive
0,214,766.92,771.42,10,3,Well the factory that creates the wooden blocks did not send us the second mystery block ,Passive
1,215,770.9,771.41,10,2,Okay,Supportive
0,217,781.87,792.67,10,1,Fibonacci like let's say That's the first one according to our translate Thirteen one thirty,Passive
1,219,784.47,786.52,10,3,Is that the first mystery block or the second mystery block,Competitive
0,218,784.03,795.67,10,2,Eight That's the first one So eight plus five Thirteen Yeah there is one thirty Eight plus five,Competitive
1,219,784.47,786.52,10,3,Is that the first mystery block or the second mystery block,Competitive
0,224,802.31,810.31,10,3,and we already did that Now this is Yeah oh okay okay okay okay Right,Passive
1,225,803.38,809.83,10,2,Yeah The second one Means according to that statement is the second one Mystery block two,Competitive
0,228,816.17,819.15,10,2,Yeah One thirty that's it,Passive
1,229,817.15,817.42,10,3,Okay,Supportive
0,231,824.75,827.26,10,1,Follow Fibonacci Please explain one,Passive
1,232,826,826.5,10,3,Explain one,Supportive
0,242,881.02,889.17,10,2,Yeah so we got it right Do not for fall but please identify Yay we completed it Yeah,Passive
1,243,884.57,888.92,10,3,Okay So yeah Fibonacci is what it is,Supportive
